192.168.1.10 - - [29/Jan/2015:08:50:58 +0530] "GET / HTTP/1.1" 404 951
192.168.1.10 - - [29/Jan/2015:08:50:59 +0530] "GET /HeUI/ HTTP/1.1" 200 1063
192.168.1.10 - - [29/Jan/2015:08:50:59 +0530] "GET /HeUI/css/bootstrap.min.css HTTP/1.1" 200 106006
192.168.1.10 - - [29/Jan/2015:08:50:59 +0530] "GET /HeUI/js/bootstrap.min.js HTTP/1.1" 200 28631
192.168.1.10 - - [29/Jan/2015:08:51:16 +0530] "GET /HeUI/index.html HTTP/1.1" 200 1063
192.168.1.10 - - [29/Jan/2015:08:51:16 +0530] "GET /HeUI/css/bootstrap.min.css HTTP/1.1" 200 106006
192.168.1.10 - - [29/Jan/2015:08:51:16 +0530] "GET /HeUI/js/bootstrap.min.js HTTP/1.1" 200 28631
192.168.1.10 - - [29/Jan/2015:08:58:16 +0530] "GET /HeUI/index.html HTTP/1.1" 200 1784
192.168.1.10 - - [29/Jan/2015:08:58:16 +0530] "GET /HeUI/css/bootstrap.min.css HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:08:58:16 +0530] "GET /HeUI/js/bootstrap.min.js HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:08:58:16 +0530] "GET /HeUI/img/glyphicons-halflings.png HTTP/1.1" 200 12799
192.168.1.10 - - [29/Jan/2015:08:59:24 +0530] "GET /HeUI/index.html HTTP/1.1" 200 1454
192.168.1.10 - - [29/Jan/2015:08:59:24 +0530] "GET /HeUI/css/bootstrap.min.css HTTP/1.1" 200 106006
192.168.1.10 - - [29/Jan/2015:08:59:24 +0530] "GET /HeUI/js/bootstrap.min.js HTTP/1.1" 200 28631
192.168.1.10 - - [29/Jan/2015:08:59:25 +0530] "GET /favicon.ico HTTP/1.1" 404 973
192.168.1.10 - - [29/Jan/2015:09:01:24 +0530] "GET /HeUI/index.html HTTP/1.1" 200 1784
192.168.1.10 - - [29/Jan/2015:09:01:24 +0530] "GET /HeUI/css/bootstrap.min.css HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:01:24 +0530] "GET /HeUI/js/bootstrap.min.js HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:01:24 +0530] "GET /HeUI/img/glyphicons-halflings.png HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:01:25 +0530] "GET /favicon.ico HTTP/1.1" 404 973
192.168.1.10 - - [29/Jan/2015:09:01:25 +0530] "GET /HeUI/index.html HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:01:25 +0530] "GET /HeUI/js/bootstrap.min.js HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:01:25 +0530] "GET /HeUI/css/bootstrap.min.css HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:01:25 +0530] "GET /HeUI/img/glyphicons-halflings.png HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:01:25 +0530] "GET /HeUI/index.html HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:01:25 +0530] "GET /HeUI/css/bootstrap.min.css HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:01:25 +0530] "GET /HeUI/js/bootstrap.min.js HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:01:25 +0530] "GET /HeUI/index.html HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:01:25 +0530] "GET /HeUI/css/bootstrap.min.css HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:01:25 +0530] "GET /HeUI/js/bootstrap.min.js HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:01:26 +0530] "GET /HeUI/index.html HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:01:26 +0530] "GET /HeUI/css/bootstrap.min.css HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:01:26 +0530] "GET /HeUI/js/bootstrap.min.js HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:01:26 +0530] "GET /HeUI/img/glyphicons-halflings.png HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:01:26 +0530] "GET /HeUI/index.html HTTP/1.1" 200 1784
192.168.1.10 - - [29/Jan/2015:09:01:26 +0530] "GET /HeUI/js/bootstrap.min.js HTTP/1.1" 200 28631
192.168.1.10 - - [29/Jan/2015:09:01:26 +0530] "GET /HeUI/css/bootstrap.min.css HTTP/1.1" 200 106006
192.168.1.10 - - [29/Jan/2015:09:01:27 +0530] "GET /HeUI/img/glyphicons-halflings.png HTTP/1.1" 200 12799
192.168.1.10 - - [29/Jan/2015:09:01:27 +0530] "GET /favicon.ico HTTP/1.1" 404 973
192.168.1.10 - - [29/Jan/2015:09:02:02 +0530] "GET /HeUI/index.html HTTP/1.1" 200 1359
192.168.1.10 - - [29/Jan/2015:09:02:02 +0530] "GET /HeUI/js/bootstrap.min.js HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:02:03 +0530] "GET /HeUI/css/bootstrap.min.css HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:02:03 +0530] "GET /HeUI/index.html HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:02:03 +0530] "GET /HeUI/js/bootstrap.min.js HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:02:03 +0530] "GET /HeUI/css/bootstrap.min.css HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:02:03 +0530] "GET /HeUI/index.html HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:02:03 +0530] "GET /HeUI/css/bootstrap.min.css HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:02:03 +0530] "GET /HeUI/js/bootstrap.min.js HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:02:04 +0530] "GET /HeUI/index.html HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:02:04 +0530] "GET /HeUI/css/bootstrap.min.css HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:02:04 +0530] "GET /HeUI/js/bootstrap.min.js HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:03:39 +0530] "GET /HeUI/index.html HTTP/1.1" 200 1326
192.168.1.10 - - [29/Jan/2015:09:03:39 +0530] "GET /HeUI/js/bootstrap.min.js HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:03:39 +0530] "GET /HeUI/css/bootstrap.min.css HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:04:18 +0530] "GET /HeUI/index.html HTTP/1.1" 200 1326
192.168.1.10 - - [29/Jan/2015:09:04:18 +0530] "GET /HeUI/js/bootstrap.min.js HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:04:18 +0530] "GET /HeUI/css/bootstrap.min.css HTTP/1.1" 304 -
192.168.1.10 - - [29/Jan/2015:09:04:26 +0530] "GET /HeUI/index.html HTTP/1.1" 200 1326
192.168.1.10 - - [29/Jan/2015:09:04:26 +0530] "GET /HeUI/js/bootstrap.min.js HTTP/1.1" 304 -
